1	1	billion	GB
2	1	18-Eighteen Noir	GB
3	1	1987:When the Day Comes	GB
4	1	Courtesy to the Nation	GB
5	1	Sunshine Boys	GB
6	1	The Discloser	GB
7	1	Miracle On 1st Street	GB
8	1	2009-Lost Memories	GB
9	1	26Years	GB
10	1	4 days of the week	GB
11	1	The Uninvited	GB
12	1	A Millionaire on the Run	GB
13	1	SECTOR 7	GB
14	1	7th Grade Civil Servant	GB
15	1	Miracle in Cell No.7	GB
16	1	Christmas In August	GB
17	1	Chested man	GB
18	1	Nightmare	GB
19	1	Traces Of Love	GB
20	1	Autumn rain in the umbrella	GB
21	1	Family Ties	GB
22	1	Lump Of Sugar	GB
23	1	The Scent	GB
24	1	The Treacherous	GB
25	1	The Spies	GB
26	1	The Spy	GB
27	1	The Flu	GB
28	1	The March Of Fools	GB
29	1	Cold Eyes	GB
30	1	Gangnam Blues	GB
31	1	Mrs. Riverside	GB
32	1	The Power Of Kangwon Province	GB
33	1	Almost Che	GB
34	1	Steel rain	GB
35	1	Gagman	GB
36	1	War of dogs	GB
37	1	How To Steal A Dog	GB
38	1	Righteous Ties	GB
39	1	Running Turtle 	GB
40	1	Into The Mirror	GB
41	1	The Liar	GB
42	1	The Mystery Of The Cube	GB
43	1	Architecture 101	GB
44	1	Queen of Walking	GB
45	1	Girlfriends	GB
46	1	A Violent Prosecutor	GB
47	1	The Priests	GB
48	1	Black House	GB
49	1	The Rules Of The Game	GB
50	1	Winter Woman	GB
51	1	Decisive herbal medicine	GB
52	1	Crazy Marriage	GB
53	1	Marriage Blue	GB
54	1	Fluid Boundaries	GB
55	1	The Silenced	GB
56	1	Go Go 70's	GB
57	1	Whale hunting	GB
58	1	Does the Nak-Dong River Flow?	GB
59	1	THE BEST YEARS OF A LIFE	GB
60	1	Antarctic Journal	GB
61	1	North Korean Partisan In South Korea	GB
62	1	Namyeong-dong1985	GB
63	1	Man In Love	GB
64	1	How to Use Guys with Secret Tips	GB
65	1	South Bound	GB
66	1	The Fortress	GB
67	1	You're My Sunshine!	GB
68	1	The girl I abandoned	GB
69	1	Confession of Murder	GB
70	1	My Dear Desperado	GB
71	1	The Harmonium In My Memory	GB
72	1	A Moment To Remember	GB
73	1	Inside Men	GB
74	1	Closer To Heaven	GB
75	1	All About My Wife	GB
76	1	Windstruck	GB
77	1	My Ordinary Love Story	GB
78	1	"Jung il-woo, My Friend"	GB
79	1	A Bittersweet Life	GB
80	1	Mothers	GB
81	1	WARRIORS OF THE DAWN	GB
82	1	THE GREAT ACTOR	GB
83	1	Doma Ahn Joong Keun	GB
84	1	The Thieves	GB
85	1	Doremi Pasolashido	GB
86	1	Love Phobia	GB
87	1	A Girl at My Door	GB
88	1	Believer 	GB
89	1	Millions In My Account	GB
90	1	Don't Cry Mommy	GB
91	1	Millions In My Account	GB
92	1	The Taste Of Money	GB
93	1	BROTHERS IN HEAVEN 	GB
94	1	Spin Kick	GB
95	1	A Dream Come True	GB
96	1	The Marine Never Returned	GB
97	1	Collective Invention	GB
98	1	The Basement Satellite	GB
99	1	My Dear Enemy	GB
100	1	Life Risking Romance	GB
101	1	Mokpo The Harbor	GB
102	1	Open City	GB
103	1	Wish	GB
104	1	Gone With The Wind	GB
105	1	A Good Lawyer's Wife	GB
106	1	What a Man Wants	GB
107	1	Fighter In The Wind	GB
108	1	A Good Day To Have An Affair	GB
109	1	Going By The Book	GB
110	1	Fool	GB
1	2	billion	US
2	2	18-Eighteen Noir	US
3	2	1987:When the Day Comes	US
4	2	Courtesy to the Nation	US
5	2	Sunshine Boys	US
6	2	The Discloser	US
7	2	Miracle On 1st Street	US
8	2	2009-Lost Memories	US
9	2	26Years	US
10	2	4 days of the week	US
11	2	The Uninvited	US
12	2	A Millionaire on the Run	US
13	2	SECTOR 7	US
14	2	7th Grade Civil Servant	US
15	2	Miracle in Cell No.7	US
16	2	Christmas In August	US
17	2	Chested man	US
18	2	Nightmare	US
19	2	Traces Of Love	US
20	2	Autumn rain in the umbrella	US
21	2	Family Ties	US
22	2	Lump Of Sugar	US
23	2	The Scent	US
24	2	The Treacherous	US
25	2	The Spies	US
26	2	The Spy	US
27	2	The Flu	US
28	2	The March Of Fools	US
29	2	Cold Eyes	US
30	2	Gangnam Blues	US
31	2	Mrs. Riverside	US
32	2	The Power Of Kangwon Province	US
33	2	Almost Che	US
34	2	Steel rain	US
35	2	Gagman	US
36	2	War of dogs	US
37	2	How To Steal A Dog	US
38	2	Righteous Ties	US
39	2	Running Turtle 	US
40	2	Into The Mirror	US
41	2	The Liar	US
42	2	The Mystery Of The Cube	US
43	2	Architecture 101	US
44	2	Queen of Walking	US
45	2	Girlfriends	US
46	2	A Violent Prosecutor	US
47	2	The Priests	US
48	2	Black House	US
49	2	The Rules Of The Game	US
50	2	Winter Woman	US
51	2	Decisive herbal medicine	US
52	2	Crazy Marriage	US
53	2	Marriage Blue	US
54	2	Fluid Boundaries	US
55	2	The Silenced	US
56	2	Go Go 70's	US
57	2	Whale hunting	US
58	2	Does the Nak-Dong River Flow?	US
59	2	THE BEST YEARS OF A LIFE	US
60	2	Antarctic Journal	US
61	2	North Korean Partisan In South Korea	US
62	2	Namyeong-dong1985	US
63	2	Man In Love	US
64	2	How to Use Guys with Secret Tips	US
65	2	South Bound	US
66	2	The Fortress	US
67	2	You're My Sunshine!	US
68	2	The girl I abandoned	US
69	2	Confession of Murder	US
70	2	My Dear Desperado	US
71	2	The Harmonium In My Memory	US
72	2	A Moment To Remember	US
73	2	Inside Men	US
74	2	Closer To Heaven	US
75	2	All About My Wife	US
76	2	Windstruck	US
77	2	My Ordinary Love Story	US
78	2	"Jung il-woo, My Friend"	US
79	2	A Bittersweet Life	US
80	2	Mothers	US
81	2	WARRIORS OF THE DAWN	US
82	2	THE GREAT ACTOR	US
83	2	Doma Ahn Joong Keun	US
84	2	The Thieves	US
85	2	Doremi Pasolashido	US
86	2	Love Phobia	US
87	2	A Girl at My Door	US
88	2	Believer 	US
89	2	Millions In My Account	US
90	2	Don't Cry Mommy	US
91	2	Millions In My Account	US
92	2	The Taste Of Money	US
93	2	BROTHERS IN HEAVEN 	US
94	2	Spin Kick	US
95	2	A Dream Come True	US
96	2	The Marine Never Returned	US
97	2	Collective Invention	US
98	2	The Basement Satellite	US
99	2	My Dear Enemy	US
100	2	Life Risking Romance	US
101	2	Mokpo The Harbor	US
102	2	Open City	US
103	2	Wish	US
104	2	Gone With The Wind	US
105	2	A Good Lawyer's Wife	US
106	2	What a Man Wants	US
107	2	Fighter In The Wind	US
108	2	A Good Day To Have An Affair	US
109	2	Going By The Book	US
110	2	Fool	US
1	3	10eog	KR
2	3	18: ulideul-ui seongjang neuwaleu	KR
3	3	1987	KR
4	3	"1991, bom"	KR
5	3	"1999, myeonhoe"	KR
6	3	1geubgimil	KR
7	3	1beongaui gijeog	KR
8	3	2009 loseuteu memolijeu	KR
9	3	26nyeon	KR
10	3	4yoil	KR
11	3	4in-yong sigtag	KR
12	3	5baegmanbul-ui sanai	KR
13	3	7gwang-gu	KR
14	3	7geub gongmuwon	KR
15	3	7beonbang-ui seonmul	KR
16	3	8wol-ui keuliseumaseu	KR
17	3	gaseum dallin namja	KR
18	3	gawi	KR
19	3	ga-eullo	KR
20	3	ga-eulbi usansog-e	KR
21	3	gajog-ui tansaeng	KR
22	3	gagseoltang	KR
23	3	ganginam	KR
24	3	gansin	KR
25	3	gancheob	KR
26	3	gancheob licheoljin	KR
27	3	gamgi	KR
28	3	babodeul-ui haengjin	KR
29	3	gamsijadeul	KR
30	3	gangnam1970	KR
31	3	gangbyeonbu-in	KR
32	3	gang-wondoui him	KR
33	3	gangcheoldaeo: gugug-ui cheolgabang	KR
34	3	gangcheolbi	KR
35	3	gaegeumaen	KR
36	3	gaedeul-ui jeonjaeng	KR
37	3	gaeleul humchineun wanbyeoghan bangbeob	KR
38	3	geolughan gyebo	KR
39	3	geobug-i dallinda	KR
40	3	geoul sog-eulo	KR
41	3	geojismal	KR
42	3	geonchugmuhan-yugmyeongagche-ui bimil	KR
43	3	geonchughaggaelon	KR
44	3	geodgiwang	KR
45	3	geolpeulenjeu	KR
46	3	geomsaoejeon	KR
